#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  17800      9.95e-01    9.55e-01      2.27e-03    2.19e-03      7.44e-02    7.14e-02    1.8e-04
  17900      9.83e-01    1.04e+00      1.47e-02    1.76e-02      7.29e-02    7.66e-02    1.8e-04
  18000      1.08e+00    9.61e-01      7.24e-03    7.48e-03      8.06e-02    7.17e-02    1.8e-04
  18100      1.02e+00    1.00e+00      6.40e-04    3.27e-04      7.66e-02    7.49e-02    1.8e-04
  18200      1.14e+00    9.59e-01      9.24e-03    8.68e-03      8.47e-02    7.15e-02    1.8e-04
  18300      1.16e+00    1.08e+00      1.39e-02    1.30e-02      8.59e-02    8.06e-02    1.8e-04
  18400      1.04e+00    1.19e+00      2.08e-03    2.19e-03      7.79e-02    8.90e-02    1.8e-04
  18500      1.09e+00    1.05e+00      7.58e-03    6.91e-03      8.17e-02    7.87e-02    1.8e-04
  18600      1.18e+00    9.79e-01      1.54e-02    1.39e-02      8.80e-02    7.26e-02    1.8e-04
  18700      1.14e+00    9.26e-01      6.37e-04    2.90e-03      8.50e-02    6.93e-02    1.8e-04
  18800      1.06e+00    1.00e+00      7.67e-03    9.72e-03      7.95e-02    7.48e-02    1.8e-04
  18900      1.07e+00    9.73e-01      1.63e-03    4.52e-04      8.04e-02    7.28e-02    1.8e-04
  19000      1.08e+00    9.72e-01      2.89e-03    2.31e-03      8.09e-02    7.27e-02    1.8e-04
  19100      1.24e+00    1.04e+00      1.20e-03    1.45e-04      9.31e-02    7.82e-02    1.8e-04
  19200      1.06e+00    1.19e+00      1.74e-02    1.69e-02      7.88e-02    8.80e-02    1.8e-04
  19300      1.13e+00    9.83e-01      1.17e-02    1.10e-02      8.45e-02    7.32e-02    1.8e-04
  19400      1.16e+00    1.13e+00      1.58e-02    1.47e-02      8.61e-02    8.37e-02    1.8e-04
  19500      1.14e+00    1.16e+00      1.34e-02    1.21e-02      8.47e-02    8.65e-02    1.8e-04
  19600      1.09e+00    9.92e-01      5.95e-03    4.04e-03      8.18e-02    7.42e-02    1.8e-04
  19700      1.07e+00    1.10e+00      1.26e-02    1.41e-02      7.96e-02    8.15e-02    1.8e-04
  19800      1.11e+00    9.50e-01      3.79e-03    3.45e-03      8.26e-02    7.11e-02    1.8e-04
  19900      1.06e+00    9.44e-01      6.70e-03    7.07e-03      7.95e-02    7.04e-02    1.8e-04
  20000      7.95e-01    6.57e-01      7.19e-04    3.44e-04      7.92e-02    6.54e-02    1.0e-04
  20100      7.90e-01    7.69e-01      4.02e-03    4.35e-03      7.86e-02    7.65e-02    1.0e-04
  20200      8.05e-01    8.98e-01      9.53e-04    2.55e-03      8.01e-02    8.94e-02    1.0e-04
  20300      7.86e-01    6.72e-01      7.48e-04    1.10e-03      7.83e-02    6.69e-02    1.0e-04
  20400      7.50e-01    6.76e-01      2.15e-03    3.57e-04      7.46e-02    6.73e-02    1.0e-04
  20500      7.54e-01    7.79e-01      3.47e-03    2.43e-03      7.49e-02    7.75e-02    1.0e-04
  20600      8.03e-01    7.26e-01      3.08e-03    2.34e-03      7.99e-02    7.22e-02    1.0e-04
  20700      8.13e-01    8.50e-01      3.38e-03    4.25e-03      8.08e-02    8.45e-02    1.0e-04
  20800      7.56e-01    7.96e-01      5.11e-03    4.95e-03      7.51e-02    7.91e-02    1.0e-04
  20900      7.69e-01    7.86e-01      7.58e-03    5.47e-03      7.62e-02    7.81e-02    1.0e-04
  21000      7.72e-01    8.85e-01      5.76e-04    3.23e-04      7.68e-02    8.81e-02    1.0e-04
  21100      7.48e-01    7.21e-01      4.37e-03    4.50e-03      7.43e-02    7.17e-02    1.0e-04
  21200      8.24e-01    7.08e-01      1.30e-02    1.15e-02      8.12e-02    6.97e-02    1.0e-04
  21300      7.46e-01    7.16e-01      3.91e-04    1.06e-03      7.43e-02    7.13e-02    1.0e-04
  21400      7.63e-01    6.75e-01      5.73e-03    6.20e-03      7.58e-02    6.69e-02    1.0e-04
  21500      7.27e-01    6.79e-01      5.10e-03    4.91e-03      7.23e-02    6.74e-02    1.0e-04
  21600      7.60e-01    7.92e-01      2.50e-03    1.78e-03      7.56e-02    7.89e-02    1.0e-04
  21700      7.58e-01    7.01e-01      5.76e-03    6.38e-03      7.53e-02    6.95e-02    1.0e-04
  21800      7.17e-01    6.48e-01      1.88e-03    3.51e-03      7.14e-02    6.45e-02    1.0e-04
  21900      8.05e-01    8.74e-01      8.74e-03    5.98e-03      7.97e-02    8.69e-02    1.0e-04
  22000      8.39e-01    6.39e-01      5.67e-03    4.17e-03      8.33e-02    6.35e-02    1.0e-04
  22100      8.33e-01    9.15e-01      6.11e-03    9.42e-03      8.28e-02    9.07e-02    1.0e-04
  22200      7.88e-01    7.25e-01      1.07e-02    8.35e-03      7.78e-02    7.17e-02    1.0e-04
  22300      8.56e-01    7.52e-01      6.85e-03    8.51e-03      8.50e-02    7.44e-02    1.0e-04
  22400      7.79e-01    8.70e-01      1.00e-02    9.86e-03      7.70e-02    8.62e-02    1.0e-04
  22500      7.84e-01    7.77e-01      2.74e-03    5.08e-04      7.80e-02    7.73e-02    1.0e-04
  22600      6.87e-01    7.13e-01      4.28e-04    1.27e-03      6.83e-02    7.09e-02    1.0e-04
  22700      7.54e-01    7.75e-01      3.96e-03    6.23e-03      7.50e-02    7.69e-02    1.0e-04
  22800      7.53e-01    7.12e-01      2.05e-04    1.37e-03      7.50e-02    7.09e-02    1.0e-04
  22900      7.48e-01    8.72e-01      1.10e-02    1.03e-02      7.38e-02    8.63e-02    1.0e-04
  23000      8.15e-01    6.35e-01      8.85e-03    1.09e-02      8.07e-02    6.24e-02    1.0e-04
  23100      8.28e-01    8.19e-01      2.04e-03    4.08e-03      8.24e-02    8.14e-02    1.0e-04
  23200      8.42e-01    8.01e-01      5.43e-03    3.44e-03      8.37e-02    7.97e-02    1.0e-04
  23300      7.37e-01    7.51e-01      9.47e-03    7.86e-03      7.29e-02    7.44e-02    1.0e-04
  23400      7.42e-01    7.29e-01      6.38e-03    6.03e-03      7.36e-02    7.24e-02    1.0e-04
  23500      6.83e-01    8.10e-01      5.90e-03    5.26e-03      6.78e-02    8.05e-02    1.0e-04
  23600      7.12e-01    7.82e-01      7.64e-03    6.51e-03      7.05e-02    7.77e-02    1.0e-04
  23700      7.45e-01    6.99e-01      1.08e-02    9.53e-03      7.34e-02    6.91e-02    1.0e-04
  23800      7.32e-01    7.99e-01      1.14e-02    1.34e-02      7.21e-02    7.85e-02    1.0e-04
  23900      7.16e-01    6.85e-01      2.54e-03    1.55e-03      7.12e-02    6.81e-02    1.0e-04
  24000      7.61e-01    9.22e-01      1.38e-03    5.63e-04      7.57e-02    9.18e-02    1.0e-04
  24100      8.67e-01    7.14e-01      1.26e-02    1.35e-02      8.55e-02    7.00e-02    1.0e-04
  24200      7.03e-01    7.38e-01      2.97e-03    1.79e-03      6.99e-02    7.34e-02    1.0e-04
  24300      7.52e-01    8.72e-01      2.52e-03    1.01e-03      7.48e-02    8.68e-02    1.0e-04
  24400      7.39e-01    7.66e-01      2.37e-03    2.31e-03      7.35e-02    7.63e-02    1.0e-04
  24500      7.56e-01    6.87e-01      5.80e-03    7.54e-03      7.51e-02    6.80e-02    1.0e-04
  24600      7.35e-01    7.54e-01      1.29e-02    1.37e-02      7.22e-02    7.40e-02    1.0e-04
  24700      8.06e-01    7.65e-01      4.82e-03    3.54e-03      8.01e-02    7.61e-02    1.0e-04
  24800      7.56e-01    8.07e-01      1.01e-02    1.20e-02      7.47e-02    7.95e-02    1.0e-04
  24900      6.99e-01    8.79e-01      2.23e-03    1.70e-03      6.96e-02    8.75e-02    1.0e-04
  25000      5.88e-01    5.22e-01      9.50e-03    1.08e-02      7.68e-02    6.76e-02    5.6e-05
  25100      5.82e-01    5.23e-01      4.80e-03    5.53e-03      7.67e-02    6.88e-02    5.6e-05
  25200      5.53e-01    5.06e-01      3.80e-04    1.07e-04      7.31e-02    6.69e-02    5.6e-05
  25300      6.16e-01    5.44e-01      3.12e-03    3.55e-03      8.14e-02    7.18e-02    5.6e-05
  25400      5.29e-01    5.74e-01      6.69e-04    5.30e-04      6.99e-02    7.60e-02    5.6e-05
  25500      5.47e-01    5.93e-01      2.04e-03    1.67e-03      7.23e-02    7.84e-02    5.6e-05
  25600      5.60e-01    5.38e-01      2.08e-03    3.20e-03      7.40e-02    7.10e-02    5.6e-05
  25700      5.76e-01    4.69e-01      1.20e-03    1.28e-03      7.61e-02    6.20e-02    5.6e-05
  25800      5.27e-01    5.23e-01      1.29e-04    1.92e-03      6.97e-02    6.91e-02    5.6e-05
